1307124629504, 645041946624, 983849533, 656343629824, 984021949
1965281837056, 973542522880, 1487771792, 986000261120, 1475957181
2628645289984, 1301174353920, 1983698118, 1321731883008, 1983958416
3289325109248, 1634285977600, 2491503375, 1649300078592, 2476009388
3951958097920, 1960712273920, 2987371829, 1985506770944, 2984084803
4607373344768, 2288242589696, 3487190231, 2313391702016, 3476071465
5269105147904, 2613872558080, 3987094500, 2649433964544, 3976118307
5932040912896, 2937193562112, 4479027801, 2989048725504, 4488074603
6589296869376, 3275853398016, 4990900239, 3307644846080, 4972159201
7244389220352, 3597019906048, 5486719359, 3641570689024, 5468175556
7912061599744, 3922876366848, 5986650895, 3983386607616, 5980225441
8573646209024, 4244564410368, 6478599557, 4323283173376, 6488136937
9237064843264, 4576944914432, 6986484816, 4654267629568, 6984182904
9892589666304, 4904730624000, 7486384088, 4982006743040, 7476100865
10554053099520, 5229544079360, 7982254461, 5318656720896, 7980136738
11217145954304, 5552883171328, 8478079045, 5658410483712, 8488168600
11884587974656, 5890577530880, 8990000247, 5988158144512, 8984207256
12549354749952, 6215989919744, 9485930807, 6327512530944, 9492171374
13207646437376, 6544140337152, 9985853085, 6657653800960, 9988213824
